Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1hfISzdAwnywAKxaSpfloo,"3vvLuXEEf7sl3izJcw0GIn","Положение","Уроборос: Улица 36","Skryptonite",2017-12-16,282621,60,spotify:user:chiara_visca,2021-11-08T22:55:47Z,"central asian hip hop,kazakh hip hop,russian hip hop,russian trap",0.58,0.539,1,-8.893,0,0.322,0.542,0.000292,0.146,0.243,62.922,4
0maCwhZTO3PybhSiQcsjAf,"4vGrte8FDu062Ntj0RsPiZ","G.O.A.T.","New Levels New Devils","Polyphia",2018-10-12,215998,56,spotify:user:chiara_visca,2022-06-08T14:16:48Z,"instrumental rock",0.66,0.76,11,-5.488,0,0.0332,0.000601,0.312,0.0949,0.359,107.028,4
3nBGFgfRQ8ujSmu5cGlZIU,"4vGrte8FDu062Ntj0RsPiZ","Playing God","Playing God","Polyphia",2022-05-10,205925,68,spotify:user:chiara_visca,2022-06-08T14:16:52Z,"instrumental rock",0.601,0.789,4,-6.822,0,0.0328,0.0395,0.812,0.114,0.315,137.06,4
2C98rKVRUT7oHuYUek0jz5,"1PmVyfIR9KtCxbHWuga8E5","KOLD MIRAGE","REMNANT","Lorn",2018-09-05,229299,30,spotify:user:chiara_visca,2022-06-29T15:15:35Z,"glitch hop,wonky",0.267,0.208,10,-13.29,1,0.0389,0.294,0.892,0.0955,0.0373,81.94,4
3waqTVDqVaOBpMHJr4Evqd,"4zymhxzJ0UJc74tMHGyoWs","Walk in the Fire","Irreverence [Special Edition]","Dirtyphonics",2014-05-20,296914,0,spotify:user:chiara_visca,2022-06-29T15:18:55Z,"drum and bass,dubstep,edm,electro house,french dnb,gaming dubstep,jump up,melodic dubstep",0.324,0.914,1,-5.751,1,0.134,0.00000407,0.463,0.335,0.249,175.015,4
1gdgs97vzNMxST1IATH9xk,"3qyg72RGnGdF521zMU02u9","4D","Alien","Northlane",2019-08-02,251133,46,spotify:user:chiara_visca,2022-06-30T22:32:59Z,"australian metalcore,deep melodic metalcore,djent,melodic metalcore,metalcore,nu-metalcore,progressive metalcore",0.42,0.943,8,-6.566,1,0.0706,0.000186,0.3,0.118,0.432,146.222,4
0bMOyiuk22fAKiwNoYsRYN,"1Ffb6ejR6Fe5IamqA5oRUF,2hmePXeTr2b7cdRAtRjvPq","Can You Feel My Heart - Remix","Can You Feel My Heart (Remix)","Bring Me The Horizon,Jeris Johnson",2021-03-05,197412,59,spotify:user:chiara_visca,2022-07-07T11:40:19Z,"melodic metalcore,metalcore,rock,uk metalcore,viral rap",0.576,0.88,9,-3.678,0,0.0507,0.00675,0,0.473,0.836,139.942,4
