Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1fTtPH0xGwFOXM5VlkxOX1,"4CvTDPKA6W06DRfBnZKrau","Hearing Damage","Hearing Damage","Thom Yorke",2009-10-01,303360,60,spotify:user:,1970-01-01T00:00:00Z,"art pop,electronica,glitch pop,indie rock,oxford indie",0.627,0.859,1,-6.321,1,0.0328,0.0474,0.852,0.109,0.133,116.019,4
1dqC5KuAYE3bRxeSEeVDF6,"2Waw2sSbqvAwK8NwACNjVo","30","Inside (The Songs)","Bo Burnham",2021-06-10,154726,36,spotify:user:,1970-01-01T00:00:00Z,"comic",0.812,0.679,7,-6.579,0,0.0426,0.196,0,0.0731,0.218,114.949,4
5Zf25eS8E1znm9mez4cGsm,"08tfDO4dSrwxax35a3HIMC","Reflections","ひとつぶの海","Toshifumi Hinata",1986-11-28,130693,67,spotify:user:,1970-01-01T00:00:00Z,"japanese soundtrack",0.224,0.146,9,-16.331,0,0.0338,0.961,0.712,0.113,0.142,94.255,3
2GPdGwBnFfruzFbJPd7uQS,"2n2RSaZqBuUUukhbLlpnE6","Jaws","Jaws","Sleep Token",2018-06-04,355300,46,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.635,0.679,8,-8.593,0,0.0515,0.0137,0.000215,0.0708,0.307,138.034,4
3w3hBA9IiyioNpvcxZSJQL,"0ZXKT0FCsLWkSLCjoBJgBX","Untouchable Part 2","Weather Systems","Anathema",2012-04-16,333480,38,spotify:user:,1970-01-01T00:00:00Z,"gothic metal,progressive doom",0.383,0.358,3,-7.923,1,0.03,0.205,0.0000723,0.301,0.0989,128.688,4
2AziR5bWTpniyTm2GQNer7,"2Waw2sSbqvAwK8NwACNjVo","Comedy","Inside (The Songs)","Bo Burnham",2021-06-10,319713,38,spotify:user:,1970-01-01T00:00:00Z,"comic",0.47,0.565,5,-8.43,1,0.173,0.465,0,0.225,0.351,180.061,4
1hbGVzJGlT55bvawUIFAjb,"2RqrWplViWHSGLzlhmDcbt","Drink I’m Sippin On","EP2","Yaeji",2017-11-03,201446,0,spotify:user:,1970-01-01T00:00:00Z,"alternative r&b,art pop,escape room,experimental house",0.731,0.502,4,-10.285,0,0.0721,0.0163,0.0341,0.169,0.496,130.093,4
1eA8yyFPgzQoFMXdeONQRJ,"2n2RSaZqBuUUukhbLlpnE6","Fall For Me","This Place Will Become Your Tomb","Sleep Token",2021-09-24,146213,46,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.516,0.225,7,-13.402,1,0.0724,0.345,0,0.0991,0.551,85.785,5
2YpeDb67231RjR0MgVLzsG,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road - Remix","7 EP","Lil Nas X,Billy Ray Cyrus",2019-06-21,157066,79,spotify:user:,1970-01-01T00:00:00Z,"lgbtq+ hip hop,pop,country,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
4lC0p6LexMrLx7kWUJcNwM,"2Waw2sSbqvAwK8NwACNjVo","Bezos II","Inside (The Songs)","Bo Burnham",2021-06-10,45836,33,spotify:user:,1970-01-01T00:00:00Z,"comic",0.788,0.463,3,-5.471,1,0.0563,0.139,0,0.0561,0.892,99.995,4
1OStEtFJJ7xMbgQfp5C3j9,"2RqrWplViWHSGLzlhmDcbt","Passionfruit","EP2","Yaeji",2017-11-03,274728,0,spotify:user:,1970-01-01T00:00:00Z,"alternative r&b,art pop,escape room,experimental house",0.606,0.448,8,-13.182,0,0.0356,0.604,0.0825,0.111,0.199,111.889,4
0hu65ZVaRynm5x765ani7s,"2n2RSaZqBuUUukhbLlpnE6","Sugar","Sundowning","Sleep Token",2019-11-21,292000,43,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.598,0.684,11,-8.082,0,0.0315,0.132,0.000584,0.158,0.093,122,4
0bGnxV7OvC5cB38GKymmD7,"7xmvkKWYKuJGhmQmuoL7CS","The Bell","The Bell","Iamthemorning",2019-08-02,304000,8,spotify:user:,1970-01-01T00:00:00Z,"chamber pop,modern progressive rock",0.399,0.161,2,-14.672,0,0.041,0.934,0.00000614,0.0802,0.148,113.216,5
4qMHIhPg0PdAxGejImhYLu,"2Waw2sSbqvAwK8NwACNjVo","Unpaid Intern","Inside (The Songs)","Bo Burnham",2021-06-10,34050,36,spotify:user:,1970-01-01T00:00:00Z,"comic",0.68,0.715,7,-6.557,0,0.0916,0.427,0,0.184,0.615,170.39,4
