Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4k3lPl8YTKuY8c1HelVnm3,"6zLBxLdl60ekBLpawtT63I","'Til You Can't","Human The Double Album","Cody Johnson",2021-10-08,224213,78,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country road,texas country",0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,4
5kFLWyiAXjYrecLHnR7bTk,"6eKWqnckwdIlSnjaYgIyxv","Love Talking","Love Talking","Eli Young Band",2022-01-07,173131,68,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road,heartland rock,modern country rock,texas country",0.557,0.821,3,-4.989,1,0.0339,0.0177,0,0.296,0.471,107.964,4
3zAOcNGOFq5Q1OsN0tcxA0,"4e9TBaTlI3LVQz3tkTYC0I","Everything She Ain’t","Everything She Ain’t","Hailey Whitters",2022-01-14,151973,72,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country pop",0.796,0.621,2,-6.129,1,0.0346,0.175,0,0.274,0.808,121.904,4
1tRxwf8Q0AcshfHuaD86Yt,"0BvkDsjIUla7X0k6CSWh1I","Country On","Country On","Luke Bryan",2022-07-01,236455,71,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road",0.52,0.751,5,-5.064,1,0.0551,0.171,0.0000074,0.0624,0.519,156.044,4
4232gJU5ljjFmKaPh0cKds,"2qwXeRk8VBAegbUnf3xdyi,0fiWOxhsBsQQvFDtxUQWo0","Never Til Now (feat. Brett Young)","Already Drank That Beer","Ashley Cooke,Brett Young",2022-04-01,173533,66,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country pop",0.382,0.408,10,-7.552,1,0.0407,0.75,0,0.127,0.128,77.063,4
2xPV95cfbyusygMTxpa3SW,"7z5WFjZAIYejWy0NI5lv4T","You","Good Things","Dan + Shay",2021-08-13,196253,72,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,pop",0.544,0.572,0,-6.205,1,0.0319,0.118,0,0.234,0.52,169.885,4
2s4arq5gE02rBGtGrn2PKj,"4TPT9nwjRvEV49q7f8p4fy","Me Myself and Why","Me Myself and Why","Alana Springsteen",2022-03-04,213066,66,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country pop",0.538,0.832,4,-5.24,1,0.0549,0.0969,0,0.144,0.191,106.077,4
6HBRLaSQ7NB8MNlaqzYen1,"77kULmXAQ6vWer7IIHdGzI","What My World Spins Around","What My World Spins Around","Jordan Davis",2022-05-27,186790,76,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,4
1vscizuuPwkwC1cc5N5KQV,"0VkWDV0Bfd0EkXvaKAXUTl","Don’t Come Lookin’","Jackson Dean","Jackson Dean",2021-04-30,187957,68,spotify:user:,2022-08-05T04:00:00Z,"",0.529,0.858,9,-6.015,1,0.0536,0.0115,0.0000291,0.345,0.676,156.129,4
5OLaVCAM2pqg7X9mAM2W8M,"4sIl4BTo9l9KqEi0Y3RE72","What He Didn't Do","29: Written In Stone","Carly Pearce",2021-09-17,191226,74,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.628,0.632,9,-5.932,1,0.0325,0.257,0,0.288,0.559,137.854,4
6iai8D40xiwuktWrxcInt1,"147nKr9upHZSSxqCzh9j7c","down home","down home","Jimmie Allen",2022-03-08,201733,71,spotify:user:,2022-08-05T04:00:00Z,"black americana,contemporary country",0.584,0.821,9,-3.628,1,0.0305,0.01,0,0.196,0.571,146,4
7xNYZeFtrB05pi9tc6lEeb,"6Iz3eq2aQGFf7TbGT2iahL","Pick Me Up","Pick Me Up","Gabby Barrett",2021-11-05,169440,73,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country pop",0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,4
5GZpFMMargJUqhbLoI94Tz,"1DTZRmlVZBxx2wRQBtx6yi,4MoAOfV4ROWofLG3a3hhBN","Longneck Way To Go","Longneck Way To Go","Midland,Jon Pardi",2022-04-22,188400,68,spotify:user:,2022-08-05T04:00:00Z,"neo-traditional country,texas country,contemporary country,country,country road,modern country rock",0.485,0.883,5,-4.906,1,0.0403,0.00177,0.00000638,0.37,0.604,129.021,4
2ccuOtUjIyx3tPcsnpeBzJ,"4GGfAshSkqoxpZdoaHm7ky,4oUHIQIBe0LHzYfvXNW4QM","Flower Shops (feat. Morgan Wallen)","Flower Shops (feat. Morgan Wallen)","ERNEST,Morgan Wallen",2021-12-31,214405,77,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,3
4ELynSlkV4OHcBCFenFJ7U,"0C86lmpnwiyLDUiyo4d0P1,6x2LnllRG5uGarZMsD4iO8","Praise The Lord (feat. Thomas Rhett)","Praise The Lord (feat. Thomas Rhett)","BRELAND,Thomas Rhett",2022-03-07,160289,71,spotify:user:,2022-08-05T04:00:00Z,"black americana,contemporary country,country,country road,modern country rock",0.826,0.603,1,-7.659,0,0.0737,0.0474,0,0.0831,0.681,107.494,4
5HVc3YeNKDFomPhXBKE90U,"6WY7D3jk8zTrHtmkqqo5GI","Good Friends","Humble Quest","Maren Morris",2022-03-25,208066,70,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,texas country",0.628,0.517,10,-7.031,1,0.0596,0.45,0.00000127,0.104,0.295,79.029,4
25VQoiuyc0HkC5FQTj1a8G,"19k8AgwwTSxeaxkOuCQEJs","Son Of A Sinner","Ballads Of The Broken","Jelly Roll",2021-09-17,232093,74,spotify:user:,2022-08-05T04:00:00Z,"country rap,nashville hip hop,tennessee hip hop",0.365,0.541,7,-7.489,1,0.0304,0.0419,0.00000225,0.281,0.329,86.041,4
2FGOg7uYBfnspkPOISXTFY,"4xFUf1FHVy696Q1JQZMTRj","Ghost Story","Ghost Story","Carrie Underwood",2022-03-18,181400,70,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country dawn,country road,oklahoma country,post-teen pop",0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,3
